L        TxT           TxW1         W1xW1       
234   8.774680e-14  3.731915e-13  3.179203e-07
235   8.687114e-14  3.675914e-13  3.158272e-07
236   8.599779e-14  3.620959e-13  3.137551e-07
237   8.512710e-14  3.567027e-13  3.117039e-07
238   8.425899e-14  3.514097e-13  3.096733e-07
239   8.339360e-14  3.462148e-13  3.076630e-07
240   8.253094e-14  3.411159e-13  3.056728e-07
241   8.167104e-14  3.361110e-13  3.037026e-07
242   8.081413e-14  3.311982e-13  3.017520e-07
243   7.996022e-14  3.263756e-13  2.998209e-07
244   7.910932e-14  3.216412e-13  2.979091e-07
245   7.826165e-14  3.169932e-13  2.960163e-07
246   7.741732e-14  3.124299e-13  2.941423e-07
247   7.657623e-14  3.079496e-13  2.922870e-07
248   7.573868e-14  3.035504e-13  2.904502e-07
249   7.490457e-14  2.992307e-13  2.886316e-07
250   7.407410e-14  2.949890e-13  2.868310e-07
251   7.324716e-14  2.908236e-13  2.850483e-07
252   7.242383e-14  2.867328e-13  2.832831e-07
253   7.160412e-14  2.827151e-13  2.815353e-07
254   7.078821e-14  2.787689e-13  2.798045e-07
255   6.997589e-14  2.748926e-13  2.780904e-07
256   6.916735e-14  2.710848e-13  2.763929e-07
257   6.836266e-14  2.673440e-13  2.747117e-07
258   6.756199e-14  2.636687e-13  2.730464e-07
259   6.676543e-14  2.600576e-13  2.713970e-07
260   6.597322e-14  2.565092e-13  2.697631e-07
261   6.518533e-14  2.530224e-13  2.681444e-07
262   6.440201e-14  2.495956e-13  2.665409e-07
263   6.362331e-14  2.462277e-13  2.649522e-07
264   6.284929e-14  2.429174e-13  2.633782e-07
265   6.207991e-14  2.396635e-13  2.618185e-07
266   6.131521e-14  2.364648e-13  2.602731e-07
267   6.055533e-14  2.333201e-13  2.587417e-07
268   5.980023e-14  2.302283e-13  2.572240e-07
269   5.904986e-14  2.271882e-13  2.557199e-07
270   5.830427e-14  2.241987e-13  2.542293e-07
271   5.756368e-14  2.212588e-13  2.527518e-07
272   5.682793e-14  2.183675e-13  2.512873e-07
273   5.609733e-14  2.155237e-13  2.498357e-07
274   5.537174e-14  2.127263e-13  2.483966e-07
275   5.465128e-14  2.099745e-13  2.469701e-07
276   5.393612e-14  2.072672e-13  2.455558e-07
277   5.322623e-14  2.046036e-13  2.441536e-07
278   5.252161e-14  2.019826e-13  2.427634e-07
279   5.182238e-14  1.994035e-13  2.413849e-07
280   5.112863e-14  1.968652e-13  2.400180e-07
281   5.044029e-14  1.943670e-13  2.386626e-07
282   4.975747e-14  1.919080e-13  2.373185e-07
283   4.908025e-14  1.894874e-13  2.359855e-07
284   4.840857e-14  1.871043e-13  2.346634e-07
285   4.774252e-14  1.847580e-13  2.333522e-07
286   4.708210e-14  1.824477e-13  2.320516e-07
287   4.642747e-14  1.801726e-13  2.307616e-07
288   4.577856e-14  1.779321e-13  2.294820e-07
289   4.513537e-14  1.757252e-13  2.282126e-07
290   4.449806e-14  1.735515e-13  2.269533e-07
291   4.386662e-14  1.714101e-13  2.257040e-07
292   4.324099e-14  1.693003e-13  2.244645e-07
293   4.262122e-14  1.672216e-13  2.232347e-07
294   4.200739e-14  1.651732e-13  2.220145e-07
295   4.139942e-14  1.631545e-13  2.208038e-07
296   4.079738e-14  1.611648e-13  2.196023e-07
297   4.020119e-14  1.592036e-13  2.184101e-07
298   3.961099e-14  1.572703e-13  2.172270e-07
299   3.902676e-14  1.553642e-13  2.160528e-07
300   3.844849e-14  1.534847e-13  2.148874e-07
301   3.787625e-14  1.516314e-13  2.137308e-07
302   3.731009e-14  1.498039e-13  2.125828e-07
303   3.675000e-14  1.480016e-13  2.114434e-07
304   3.619602e-14  1.462243e-13  2.103124e-07
305   3.564821e-14  1.444715e-13  2.091899e-07
306   3.510648e-14  1.427430e-13  2.080756e-07
307   3.457096e-14  1.410383e-13  2.069695e-07
308   3.404161e-14  1.393570e-13  2.058715e-07
309   3.351842e-14  1.376989e-13  2.047816e-07
310   3.300130e-14  1.360636e-13  2.036996e-07
311   3.249043e-14  1.344507e-13  2.026255e-07
312   3.198565e-14  1.328600e-13  2.015592e-07
313   3.148708e-14  1.312911e-13  2.005006e-07
314   3.099468e-14  1.297436e-13  1.994497e-07
315   3.050837e-14  1.282173e-13  1.984063e-07
316   3.002826e-14  1.267118e-13  1.973704e-07
317   2.955431e-14  1.252269e-13  1.963420e-07
318   2.908657e-14  1.237622e-13  1.953209e-07
319   2.862494e-14  1.223175e-13  1.943071e-07
320   2.816939e-14  1.208925e-13  1.933004e-07
321   2.772010e-14  1.194868e-13  1.923010e-07
322   2.727684e-14  1.181003e-13  1.913085e-07
323   2.683976e-14  1.167326e-13  1.903231e-07
324   2.640873e-14  1.153834e-13  1.893446e-07
325   2.598383e-14  1.140525e-13  1.883730e-07
326   2.556497e-14  1.127397e-13  1.874082e-07
327   2.515219e-14  1.114446e-13  1.864501e-07
328   2.474545e-14  1.101671e-13  1.854986e-07
329   2.434473e-14  1.089068e-13  1.845538e-07
330   2.395005e-14  1.076636e-13  1.836155e-07
331   2.356133e-14  1.064371e-13  1.826837e-07
332   2.317859e-14  1.052272e-13  1.817584e-07
333   2.280175e-14  1.040337e-13  1.808393e-07
334   2.243083e-14  1.028562e-13  1.799266e-07
335   2.206587e-14  1.016946e-13  1.790201e-07
336   2.170676e-14  1.005487e-13  1.781199e-07
337   2.135350e-14  9.941814e-14  1.772257e-07
338   2.100604e-14  9.830284e-14  1.763376e-07
339   2.066441e-14  9.720254e-14  1.754555e-07
340   2.032857e-14  9.611703e-14  1.745794e-07
341   1.999846e-14  9.504612e-14  1.737092e-07
342   1.967403e-14  9.398960e-14  1.728449e-07
343   1.935525e-14  9.294728e-14  1.719863e-07
344   1.904206e-14  9.191896e-14  1.711335e-07
345   1.873441e-14  9.090444e-14  1.702864e-07
346   1.843227e-14  8.990355e-14  1.694449e-07
347   1.813558e-14  8.891609e-14  1.686090e-07
348   1.784430e-14  8.794189e-14  1.677787e-07
349   1.755846e-14  8.698075e-14  1.669538e-07
350   1.727797e-14  8.603251e-14  1.661344e-07
351   1.700287e-14  8.509699e-14  1.653204e-07
352   1.673313e-14  8.417397e-14  1.645118e-07
353   1.646866e-14  8.326325e-14  1.637085e-07
354   1.620944e-14  8.236461e-14  1.629104e-07
355   1.595550e-14  8.147785e-14  1.621176e-07
356   1.570672e-14  8.060278e-14  1.613300e-07
357   1.546306e-14  7.973919e-14  1.605476e-07
358   1.522450e-14  7.888688e-14  1.597703e-07
359   1.499097e-14  7.804568e-14  1.589981e-07
360   1.476239e-14  7.721538e-14  1.582309e-07
361   1.453875e-14  7.639581e-14  1.574688e-07
362   1.431997e-14  7.558679e-14  1.567116e-07
363   1.410608e-14  7.478812e-14  1.559594e-07
364   1.389692e-14  7.399965e-14  1.552121e-07
365   1.369255e-14  7.322119e-14  1.544697e-07
366   1.349286e-14  7.245258e-14  1.537322e-07
367   1.329783e-14  7.169365e-14  1.529994e-07
368   1.310740e-14  7.094423e-14  1.522714e-07
369   1.292150e-14  7.020416e-14  1.515482e-07
370   1.274016e-14  6.947329e-14  1.508297e-07
371   1.256321e-14  6.875145e-14  1.501158e-07
372   1.239070e-14  6.803850e-14  1.494066e-07
373   1.222250e-14  6.733428e-14  1.487021e-07
374   1.205861e-14  6.663864e-14  1.480021e-07
375   1.189892e-14  6.595144e-14  1.473066e-07
376   1.174341e-14  6.527253e-14  1.466157e-07
377   1.159207e-14  6.460178e-14  1.459292e-07
378   1.144474e-14  6.393903e-14  1.452472e-07
379   1.130147e-14  6.328416e-14  1.445697e-07
380   1.116220e-14  6.263702e-14  1.438965e-07
381   1.102682e-14  6.199750e-14  1.432277e-07
382   1.089532e-14  6.136544e-14  1.425632e-07
383   1.076765e-14  6.074074e-14  1.419030e-07
384   1.064371e-14  6.012325e-14  1.412471e-07
385   1.052345e-14  5.951286e-14  1.405955e-07
386   1.040687e-14  5.890945e-14  1.399481e-07
387   1.029389e-14  5.831289e-14  1.393048e-07
